"cluster","group","n_cells"
"13","GSE326225_BC3",6
"2","GSE326225_BC3",17
"3","GSE326225_BC3",71
"4","GSE326225_BC3",12
"5","GSE326225_BC3",2
"6","GSE326225_BC3",11
"7","GSE326225_BC3",9
"9","GSE326225_BC3",14
"0","GSE326225_BC4",637
"1","GSE326225_BC4",283
"10","GSE326225_BC4",86
"11","GSE326225_BC4",24
"12","GSE326225_BC4",45
"13","GSE326225_BC4",338
"2","GSE326225_BC4",254
"3","GSE326225_BC4",466
"4","GSE326225_BC4",113
"5","GSE326225_BC4",87
"6","GSE326225_BC4",90
"7","GSE326225_BC4",196
"8","GSE326225_BC4",81
"9","GSE326225_BC4",100
"12","GSE326225_BC5",1
"4","GSE326225_BC5",1
"7","GSE326225_BC5",1
"0","GSE326225_BC6",80
"1","GSE326225_BC6",69
"10","GSE326225_BC6",42
"12","GSE326225_BC6",3
"13","GSE326225_BC6",32
"2","GSE326225_BC6",86
"3","GSE326225_BC6",61
"4","GSE326225_BC6",36
"5","GSE326225_BC6",2
"6","GSE326225_BC6",16
"7","GSE326225_BC6",9
"8","GSE326225_BC6",29
"9","GSE326225_BC6",47
"0","GSE326225_BC7",2
"1","GSE326225_BC7",22
"10","GSE326225_BC7",8
"11","GSE326225_BC7",1
"13","GSE326225_BC7",33
"2","GSE326225_BC7",1
"3","GSE326225_BC7",99
"4","GSE326225_BC7",40
"5","GSE326225_BC7",5
"6","GSE326225_BC7",14
"7","GSE326225_BC7",12
"8","GSE326225_BC7",1
"9","GSE326225_BC7",17
"0","GSE326225_BC8",7
"1","GSE326225_BC8",61
"10","GSE326225_BC8",48
"11","GSE326225_BC8",2
"12","GSE326225_BC8",2
"13","GSE326225_BC8",12
"2","GSE326225_BC8",22
"3","GSE326225_BC8",136
"4","GSE326225_BC8",82
"6","GSE326225_BC8",38
"7","GSE326225_BC8",18
"8","GSE326225_BC8",1
"9","GSE326225_BC8",34
"0","HRA003620_BC-01",1503
"1","HRA003620_BC-01",801
"10","HRA003620_BC-01",188
"11","HRA003620_BC-01",6
"12","HRA003620_BC-01",43
"2","HRA003620_BC-01",804
"3","HRA003620_BC-01",335
"4","HRA003620_BC-01",393
"5","HRA003620_BC-01",534
"6","HRA003620_BC-01",328
"7","HRA003620_BC-01",215
"8","HRA003620_BC-01",384
"9","HRA003620_BC-01",237
"0","HRA003620_BC-04",5
"1","HRA003620_BC-04",9
"10","HRA003620_BC-04",12
"11","HRA003620_BC-04",1
"12","HRA003620_BC-04",2
"2","HRA003620_BC-04",27
"3","HRA003620_BC-04",9
"4","HRA003620_BC-04",7
"5","HRA003620_BC-04",26
"6","HRA003620_BC-04",21
"7","HRA003620_BC-04",22
"8","HRA003620_BC-04",2
"9","HRA003620_BC-04",3
"0","HRA003620_BC-05",692
"1","HRA003620_BC-05",294
"10","HRA003620_BC-05",127
"11","HRA003620_BC-05",61
"12","HRA003620_BC-05",23
"2","HRA003620_BC-05",312
"3","HRA003620_BC-05",137
"4","HRA003620_BC-05",127
"5","HRA003620_BC-05",250
"6","HRA003620_BC-05",80
"7","HRA003620_BC-05",68
"8","HRA003620_BC-05",111
"9","HRA003620_BC-05",120
"0","HRA003620_BC-11",2523
"1","HRA003620_BC-11",641
"10","HRA003620_BC-11",135
"11","HRA003620_BC-11",32
"12","HRA003620_BC-11",29
"13","HRA003620_BC-11",1
"2","HRA003620_BC-11",656
"3","HRA003620_BC-11",577
"4","HRA003620_BC-11",245
"5","HRA003620_BC-11",586
"6","HRA003620_BC-11",271
"7","HRA003620_BC-11",140
"8","HRA003620_BC-11",356
"9","HRA003620_BC-11",164
"0","HRA003620_BC-24",720
"1","HRA003620_BC-24",512
"10","HRA003620_BC-24",79
"11","HRA003620_BC-24",25
"12","HRA003620_BC-24",109
"2","HRA003620_BC-24",61
"3","HRA003620_BC-24",771
"4","HRA003620_BC-24",258
"5","HRA003620_BC-24",500
"6","HRA003620_BC-24",259
"7","HRA003620_BC-24",302
"8","HRA003620_BC-24",96
"9","HRA003620_BC-24",117
"0","HRA003620_BC-27",345
"1","HRA003620_BC-27",283
"10","HRA003620_BC-27",175
"11","HRA003620_BC-27",10
"12","HRA003620_BC-27",100
"2","HRA003620_BC-27",292
"3","HRA003620_BC-27",258
"4","HRA003620_BC-27",198
"5","HRA003620_BC-27",331
"6","HRA003620_BC-27",261
"7","HRA003620_BC-27",75
"8","HRA003620_BC-27",116
"9","HRA003620_BC-27",101
"0","HRA003620_BC-30",992
"1","HRA003620_BC-30",829
"10","HRA003620_BC-30",95
"11","HRA003620_BC-30",20
"12","HRA003620_BC-30",133
"13","HRA003620_BC-30",2
"2","HRA003620_BC-30",286
"3","HRA003620_BC-30",450
"4","HRA003620_BC-30",425
"5","HRA003620_BC-30",235
"6","HRA003620_BC-30",456
"7","HRA003620_BC-30",303
"8","HRA003620_BC-30",118
"9","HRA003620_BC-30",100
"0","HRA003620_NC-01",73
"1","HRA003620_NC-01",56
"10","HRA003620_NC-01",90
"11","HRA003620_NC-01",3
"12","HRA003620_NC-01",9
"13","HRA003620_NC-01",1
"2","HRA003620_NC-01",55
"3","HRA003620_NC-01",33
"4","HRA003620_NC-01",176
"5","HRA003620_NC-01",44
"6","HRA003620_NC-01",36
"7","HRA003620_NC-01",39
"8","HRA003620_NC-01",26
"9","HRA003620_NC-01",22
"0","HRA003620_NC-04",8
"1","HRA003620_NC-04",25
"10","HRA003620_NC-04",40
"11","HRA003620_NC-04",3
"12","HRA003620_NC-04",4
"2","HRA003620_NC-04",9
"3","HRA003620_NC-04",47
"4","HRA003620_NC-04",44
"5","HRA003620_NC-04",51
"6","HRA003620_NC-04",104
"7","HRA003620_NC-04",30
"8","HRA003620_NC-04",17
"9","HRA003620_NC-04",8
"0","HRA003620_NC-05",428
"1","HRA003620_NC-05",380
"10","HRA003620_NC-05",117
"11","HRA003620_NC-05",94
"12","HRA003620_NC-05",14
"2","HRA003620_NC-05",342
"3","HRA003620_NC-05",118
"4","HRA003620_NC-05",168
"5","HRA003620_NC-05",127
"6","HRA003620_NC-05",93
"7","HRA003620_NC-05",79
"8","HRA003620_NC-05",147
"9","HRA003620_NC-05",91
"0","HRA003620_NC-11",559
"1","HRA003620_NC-11",433
"10","HRA003620_NC-11",130
"11","HRA003620_NC-11",54
"12","HRA003620_NC-11",27
"2","HRA003620_NC-11",273
"3","HRA003620_NC-11",133
"4","HRA003620_NC-11",213
"5","HRA003620_NC-11",314
"6","HRA003620_NC-11",622
"7","HRA003620_NC-11",542
"8","HRA003620_NC-11",275
"9","HRA003620_NC-11",55
"0","HRA003620_NC-24",203
"1","HRA003620_NC-24",237
"10","HRA003620_NC-24",44
"11","HRA003620_NC-24",5
"12","HRA003620_NC-24",35
"2","HRA003620_NC-24",2
"3","HRA003620_NC-24",372
"4","HRA003620_NC-24",202
"5","HRA003620_NC-24",217
"6","HRA003620_NC-24",104
"7","HRA003620_NC-24",22
"8","HRA003620_NC-24",8
"9","HRA003620_NC-24",43
"0","HRA003620_NC-27",295
"1","HRA003620_NC-27",418
"10","HRA003620_NC-27",218
"11","HRA003620_NC-27",16
"12","HRA003620_NC-27",66
"13","HRA003620_NC-27",2
"2","HRA003620_NC-27",28
"3","HRA003620_NC-27",823
"4","HRA003620_NC-27",408
"5","HRA003620_NC-27",429
"6","HRA003620_NC-27",232
"7","HRA003620_NC-27",89
"8","HRA003620_NC-27",21
"9","HRA003620_NC-27",92
"0","HRA003620_NC-30",213
"1","HRA003620_NC-30",429
"10","HRA003620_NC-30",211
"11","HRA003620_NC-30",9
"12","HRA003620_NC-30",51
"2","HRA003620_NC-30",306
"3","HRA003620_NC-30",400
"4","HRA003620_NC-30",707
"5","HRA003620_NC-30",402
"6","HRA003620_NC-30",430
"7","HRA003620_NC-30",187
"8","HRA003620_NC-30",114
"9","HRA003620_NC-30",186
"0","PRJNA662018_PRJNA662018_P1N1",80
"1","PRJNA662018_PRJNA662018_P1N1",219
"10","PRJNA662018_PRJNA662018_P1N1",59
"11","PRJNA662018_PRJNA662018_P1N1",131
"12","PRJNA662018_PRJNA662018_P1N1",12
"2","PRJNA662018_PRJNA662018_P1N1",152
"3","PRJNA662018_PRJNA662018_P1N1",98
"4","PRJNA662018_PRJNA662018_P1N1",257
"5","PRJNA662018_PRJNA662018_P1N1",129
"6","PRJNA662018_PRJNA662018_P1N1",162
"7","PRJNA662018_PRJNA662018_P1N1",142
"8","PRJNA662018_PRJNA662018_P1N1",71
"9","PRJNA662018_PRJNA662018_P1N1",72
"0","PRJNA662018_PRJNA662018_P1T1",236
"1","PRJNA662018_PRJNA662018_P1T1",469
"10","PRJNA662018_PRJNA662018_P1T1",130
"11","PRJNA662018_PRJNA662018_P1T1",23
"12","PRJNA662018_PRJNA662018_P1T1",32
"2","PRJNA662018_PRJNA662018_P1T1",195
"3","PRJNA662018_PRJNA662018_P1T1",356
"4","PRJNA662018_PRJNA662018_P1T1",383
"5","PRJNA662018_PRJNA662018_P1T1",390
"6","PRJNA662018_PRJNA662018_P1T1",227
"7","PRJNA662018_PRJNA662018_P1T1",224
"8","PRJNA662018_PRJNA662018_P1T1",120
"9","PRJNA662018_PRJNA662018_P1T1",110
"0","PRJNA662018_PRJNA662018_P2T2",502
"1","PRJNA662018_PRJNA662018_P2T2",484
"10","PRJNA662018_PRJNA662018_P2T2",154
"11","PRJNA662018_PRJNA662018_P2T2",60
"12","PRJNA662018_PRJNA662018_P2T2",49
"2","PRJNA662018_PRJNA662018_P2T2",502
"3","PRJNA662018_PRJNA662018_P2T2",481
"4","PRJNA662018_PRJNA662018_P2T2",369
"5","PRJNA662018_PRJNA662018_P2T2",384
"6","PRJNA662018_PRJNA662018_P2T2",283
"7","PRJNA662018_PRJNA662018_P2T2",327
"8","PRJNA662018_PRJNA662018_P2T2",180
"9","PRJNA662018_PRJNA662018_P2T2",117
"0","PRJNA662018_PRJNA662018_P3N3",112
"1","PRJNA662018_PRJNA662018_P3N3",323
"10","PRJNA662018_PRJNA662018_P3N3",71
"11","PRJNA662018_PRJNA662018_P3N3",29
"12","PRJNA662018_PRJNA662018_P3N3",33
"13","PRJNA662018_PRJNA662018_P3N3",1
"2","PRJNA662018_PRJNA662018_P3N3",104
"3","PRJNA662018_PRJNA662018_P3N3",452
"4","PRJNA662018_PRJNA662018_P3N3",295
"5","PRJNA662018_PRJNA662018_P3N3",270
"6","PRJNA662018_PRJNA662018_P3N3",202
"7","PRJNA662018_PRJNA662018_P3N3",80
"8","PRJNA662018_PRJNA662018_P3N3",56
"9","PRJNA662018_PRJNA662018_P3N3",70
"0","PRJNA662018_PRJNA662018_P3T3",125
"1","PRJNA662018_PRJNA662018_P3T3",339
"10","PRJNA662018_PRJNA662018_P3T3",62
"11","PRJNA662018_PRJNA662018_P3T3",8
"12","PRJNA662018_PRJNA662018_P3T3",11
"2","PRJNA662018_PRJNA662018_P3T3",323
"3","PRJNA662018_PRJNA662018_P3T3",142
"4","PRJNA662018_PRJNA662018_P3T3",179
"5","PRJNA662018_PRJNA662018_P3T3",149
"6","PRJNA662018_PRJNA662018_P3T3",116
"7","PRJNA662018_PRJNA662018_P3T3",80
"8","PRJNA662018_PRJNA662018_P3T3",132
"9","PRJNA662018_PRJNA662018_P3T3",162
"0","PRJNA662018_PRJNA662018_P4T4",476
"1","PRJNA662018_PRJNA662018_P4T4",250
"10","PRJNA662018_PRJNA662018_P4T4",148
"11","PRJNA662018_PRJNA662018_P4T4",38
"12","PRJNA662018_PRJNA662018_P4T4",23
"13","PRJNA662018_PRJNA662018_P4T4",4
"2","PRJNA662018_PRJNA662018_P4T4",354
"3","PRJNA662018_PRJNA662018_P4T4",426
"4","PRJNA662018_PRJNA662018_P4T4",190
"5","PRJNA662018_PRJNA662018_P4T4",50
"6","PRJNA662018_PRJNA662018_P4T4",185
"7","PRJNA662018_PRJNA662018_P4T4",164
"8","PRJNA662018_PRJNA662018_P4T4",112
"9","PRJNA662018_PRJNA662018_P4T4",106
"0","PRJNA662018_PRJNA662018_P5T5",1
"1","PRJNA662018_PRJNA662018_P5T5",13
"10","PRJNA662018_PRJNA662018_P5T5",2
"11","PRJNA662018_PRJNA662018_P5T5",1
"12","PRJNA662018_PRJNA662018_P5T5",1
"3","PRJNA662018_PRJNA662018_P5T5",107
"4","PRJNA662018_PRJNA662018_P5T5",5
"5","PRJNA662018_PRJNA662018_P5T5",2
"6","PRJNA662018_PRJNA662018_P5T5",9
"7","PRJNA662018_PRJNA662018_P5T5",4
"8","PRJNA662018_PRJNA662018_P5T5",3
"9","PRJNA662018_PRJNA662018_P5T5",7
"0","PRJNA662018_PRJNA662018_P6N2",58
"1","PRJNA662018_PRJNA662018_P6N2",277
"10","PRJNA662018_PRJNA662018_P6N2",53
"11","PRJNA662018_PRJNA662018_P6N2",10
"12","PRJNA662018_PRJNA662018_P6N2",9
"2","PRJNA662018_PRJNA662018_P6N2",272
"3","PRJNA662018_PRJNA662018_P6N2",151
"4","PRJNA662018_PRJNA662018_P6N2",264
"5","PRJNA662018_PRJNA662018_P6N2",105
"6","PRJNA662018_PRJNA662018_P6N2",150
"7","PRJNA662018_PRJNA662018_P6N2",43
"8","PRJNA662018_PRJNA662018_P6N2",76
"9","PRJNA662018_PRJNA662018_P6N2",134
"1","PRJNA662018_PRJNA662018_P6T6",1
"10","PRJNA662018_PRJNA662018_P6T6",3
"12","PRJNA662018_PRJNA662018_P6T6",1
"3","PRJNA662018_PRJNA662018_P6T6",13
"4","PRJNA662018_PRJNA662018_P6T6",5
"6","PRJNA662018_PRJNA662018_P6T6",5
"9","PRJNA662018_PRJNA662018_P6T6",1
"0","PRJNA662018_PRJNA662018_P7T7",55
"1","PRJNA662018_PRJNA662018_P7T7",138
"10","PRJNA662018_PRJNA662018_P7T7",32
"11","PRJNA662018_PRJNA662018_P7T7",4
"12","PRJNA662018_PRJNA662018_P7T7",10
"13","PRJNA662018_PRJNA662018_P7T7",1
"2","PRJNA662018_PRJNA662018_P7T7",210
"3","PRJNA662018_PRJNA662018_P7T7",190
"4","PRJNA662018_PRJNA662018_P7T7",147
"5","PRJNA662018_PRJNA662018_P7T7",102
"6","PRJNA662018_PRJNA662018_P7T7",83
"7","PRJNA662018_PRJNA662018_P7T7",16
"8","PRJNA662018_PRJNA662018_P7T7",26
"9","PRJNA662018_PRJNA662018_P7T7",75
"2","PRJNA662018_PRJNA662018_P8T8",8
"3","PRJNA662018_PRJNA662018_P8T8",1
"5","PRJNA662018_PRJNA662018_P8T8",1
"7","PRJNA662018_PRJNA662018_P8T8",6
"8","PRJNA662018_PRJNA662018_P8T8",2
"9","PRJNA662018_PRJNA662018_P8T8",3
"0","T4091568",321
"1","T4091568",414
"10","T4091568",112
"11","T4091568",140
"12","T4091568",20
"2","T4091568",271
"3","T4091568",173
"4","T4091568",266
"5","T4091568",202
"6","T4091568",241
"7","T4091568",86
"8","T4091568",109
"9","T4091568",95
"0","T4295396",1009
"1","T4295396",449
"10","T4295396",141
"11","T4295396",11
"12","T4295396",50
"2","T4295396",630
"3","T4295396",192
"4","T4295396",300
"5","T4295396",400
"6","T4295396",325
"7","T4295396",246
"8","T4295396",585
"9","T4295396",162
"0","T4380845",551
"1","T4380845",320
"10","T4380845",134
"11","T4380845",5
"12","T4380845",37
"2","T4380845",249
"3","T4380845",102
"4","T4380845",120
"5","T4380845",165
"6","T4380845",95
"7","T4380845",57
"8","T4380845",150
"9","T4380845",60
"0","T4398343",726
"1","T4398343",499
"10","T4398343",269
"11","T4398343",23
"12","T4398343",48
"13","T4398343",1
"2","T4398343",1222
"3","T4398343",177
"4","T4398343",435
"5","T4398343",314
"6","T4398343",336
"7","T4398343",481
"8","T4398343",471
"9","T4398343",474
"0","T4450398",1538
"1","T4450398",888
"10","T4450398",135
"11","T4450398",12
"12","T4450398",41
"2","T4450398",731
"3","T4450398",543
"4","T4450398",519
"5","T4450398",471
"6","T4450398",395
"7","T4450398",197
"8","T4450398",255
"9","T4450398",246
"0","T4463209a",1040
"1","T4463209a",301
"10","T4463209a",285
"11","T4463209a",3
"12","T4463209a",26
"2","T4463209a",1180
"3","T4463209a",127
"4","T4463209a",184
"5","T4463209a",157
"6","T4463209a",117
"7","T4463209a",403
"8","T4463209a",441
"9","T4463209a",383
"0","T4463209b",364
"1","T4463209b",434
"10","T4463209b",193
"11","T4463209b",66
"12","T4463209b",10
"2","T4463209b",394
"3","T4463209b",139
"4","T4463209b",276
"5","T4463209b",257
"6","T4463209b",128
"7","T4463209b",242
"8","T4463209b",220
"9","T4463209b",109
"0","T4465219",153
"1","T4465219",195
"10","T4465219",183
"11","T4465219",8
"12","T4465219",13
"2","T4465219",105
"3","T4465219",122
"4","T4465219",84
"5","T4465219",39
"6","T4465219",83
"7","T4465219",315
"8","T4465219",16
"9","T4465219",56
"0","T4465935",274
"1","T4465935",284
"10","T4465935",122
"11","T4465935",2
"12","T4465935",36
"2","T4465935",505
"3","T4465935",115
"4","T4465935",361
"5","T4465935",148
"6","T4465935",359
"7","T4465935",85
"8","T4465935",118
"9","T4465935",325
"0","T4466585",125
"1","T4466585",146
"10","T4466585",35
"11","T4466585",17
"12","T4466585",17
"2","T4466585",150
"3","T4466585",77
"4","T4466585",214
"5","T4466585",98
"6","T4466585",130
"7","T4466585",33
"8","T4466585",50
"9","T4466585",78
"0","T4469479",374
"1","T4469479",452
"10","T4469479",120
"11","T4469479",11
"12","T4469479",41
"2","T4469479",515
"3","T4469479",161
"4","T4469479",234
"5","T4469479",290
"6","T4469479",138
"7","T4469479",124
"8","T4469479",75
"9","T4469479",198
"0","T4471438",1496
"1","T4471438",856
"10","T4471438",516
"11","T4471438",67
"12","T4471438",49
"2","T4471438",758
"3","T4471438",595
"4","T4471438",367
"5","T4471438",655
"6","T4471438",214
"7","T4471438",173
"8","T4471438",114
"9","T4471438",215
"0","T8009218",358
"1","T8009218",190
"10","T8009218",78
"11","T8009218",70
"12","T8009218",5
"2","T8009218",286
"3","T8009218",96
"4","T8009218",188
"5","T8009218",150
"6","T8009218",91
"7","T8009218",258
"8","T8009218",83
"9","T8009218",107
