"cluster","group","n_cells"
"0","CNP0000460_P01N",185
"1","CNP0000460_P01N",56
"10","CNP0000460_P01N",51
"11","CNP0000460_P01N",168
"12","CNP0000460_P01N",64
"13","CNP0000460_P01N",45
"14","CNP0000460_P01N",512
"15","CNP0000460_P01N",4
"2","CNP0000460_P01N",36
"20","CNP0000460_P01N",34
"3","CNP0000460_P01N",1
"4","CNP0000460_P01N",156
"5","CNP0000460_P01N",17
"6","CNP0000460_P01N",571
"7","CNP0000460_P01N",41
"8","CNP0000460_P01N",8
"9","CNP0000460_P01N",31
"0","CNP0000460_P01T",69
"1","CNP0000460_P01T",19
"10","CNP0000460_P01T",28
"11","CNP0000460_P01T",10
"12","CNP0000460_P01T",5
"13","CNP0000460_P01T",1
"14","CNP0000460_P01T",2
"2","CNP0000460_P01T",2
"20","CNP0000460_P01T",48
"25","CNP0000460_P01T",4
"27","CNP0000460_P01T",1
"3","CNP0000460_P01T",7
"4","CNP0000460_P01T",13
"5","CNP0000460_P01T",2
"6","CNP0000460_P01T",13
"7","CNP0000460_P01T",6
"8","CNP0000460_P01T",9
"9","CNP0000460_P01T",320
"0","CNP0000460_P02N",268
"1","CNP0000460_P02N",422
"10","CNP0000460_P02N",27
"11","CNP0000460_P02N",14
"12","CNP0000460_P02N",32
"13","CNP0000460_P02N",25
"14","CNP0000460_P02N",4
"15","CNP0000460_P02N",4
"19","CNP0000460_P02N",4
"2","CNP0000460_P02N",6
"20","CNP0000460_P02N",1
"4","CNP0000460_P02N",27
"5","CNP0000460_P02N",29
"6","CNP0000460_P02N",10
"7","CNP0000460_P02N",821
"8","CNP0000460_P02N",121
"9","CNP0000460_P02N",2
"0","CNP0000460_P02T",26
"1","CNP0000460_P02T",3
"10","CNP0000460_P02T",25
"11","CNP0000460_P02T",1
"12","CNP0000460_P02T",16
"13","CNP0000460_P02T",287
"15","CNP0000460_P02T",2
"17","CNP0000460_P02T",1
"18","CNP0000460_P02T",10
"19","CNP0000460_P02T",1428
"20","CNP0000460_P02T",21
"22","CNP0000460_P02T",1
"3","CNP0000460_P02T",1
"4","CNP0000460_P02T",2
"5","CNP0000460_P02T",3
"7","CNP0000460_P02T",4
